[roll1:2198]  [pitch1:41]  [yaw1:2835]  [Ax1:9.777] [Ay1:0.507] [Az1:0.503] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2199]  [pitch1:41]  [yaw1:2835]  [Ax1:9.744] [Ay1:0.450] [Az1:0.598] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2241]  [pitch1:38]  [yaw1:2796]  [Ax1:7.131] [Ay1:0.593] [Az1:-1.776] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2299]  [pitch1:38]  [yaw1:2737]  [Ax1:14.132] [Ay1:2.048] [Az1:-1.431] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2310]  [pitch1:39]  [yaw1:2726]  [Ax1:14.702] [Ay1:2.374] [Az1:1.287] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2210]  [pitch1:49]  [yaw1:2825]  [Ax1:13.362] [Ay1:1.326] [Az1:9.112] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2254]  [pitch1:40]  [yaw1:2781]  [Ax1:3.288] [Ay1:-1.709] [Az1:-5.422] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2288]  [pitch1:41]  [yaw1:2745]  [Ax1:13.807] [Ay1:1.929] [Az1:-0.608] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2263]  [pitch1:42]  [yaw1:2771]  [Ax1:10.218] [Ay1:0.450] [Az1:7.748] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2397]  [pitch1:33]  [yaw1:2638]  [Ax1:5.331] [Ay1:-0.871] [Az1:-8.485] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2298]  [pitch1:41]  [yaw1:2736]  [Ax1:16.042] [Ay1:2.666] [Az1:7.868] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2318]  [pitch1:37]  [yaw1:2716]  [Ax1:3.790] [Ay1:-1.637] [Az1:-2.493] [        ][?][        ]
[roll2:17237840]  [pitch2:0]  [yaw2:1389884856]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2366]  [pitch1:37]  [yaw1:2666]  [Ax1:13.548] [Ay1:1.776] [Az1:-1.345] [        ][?][        ]
