[roll1:2395]  [pitch1:44]  [yaw1:2299]  [Ax1:9.710] [Ay1:0.436] [Az1:0.646] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2394]  [pitch1:43]  [yaw1:2302]  [Ax1:9.653] [Ay1:0.507] [Az1:0.445] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2412]  [pitch1:44]  [yaw1:2285]  [Ax1:14.132] [Ay1:1.618] [Az1:0.225] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2487]  [pitch1:39]  [yaw1:2212]  [Ax1:2.972] [Ay1:-1.149] [Az1:-4.877] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2643]  [pitch1:35]  [yaw1:2057]  [Ax1:6.456] [Ay1:-0.187] [Az1:-7.499] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2536]  [pitch1:38]  [yaw1:2166]  [Ax1:15.874] [Ay1:2.651] [Az1:5.465] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2448]  [pitch1:39]  [yaw1:2255]  [Ax1:7.705] [Ay1:-0.503] [Az1:4.125] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2615]  [pitch1:34]  [yaw1:2091]  [Ax1:6.906] [Ay1:-0.278] [Az1:-8.155] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2443]  [pitch1:40]  [yaw1:2263]  [Ax1:15.702] [Ay1:2.536] [Az1:8.729] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2492]  [pitch1:36]  [yaw1:2217]  [Ax1:4.034] [Ay1:-1.498] [Az1:-3.230] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2538]  [pitch1:36]  [yaw1:2172]  [Ax1:12.893] [Ay1:1.910] [Az1:-1.776] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2394]  [pitch1:40]  [yaw1:2317]  [Ax1:10.385] [Ay1:0.536] [Az1:7.600] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2565]  [pitch1:33]  [yaw1:2148]  [Ax1:5.934] [Ay1:-0.861] [Az1:-8.696] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2464]  [pitch1:36]  [yaw1:2253]  [Ax1:3.991] [Ay1:-1.613] [Az1:-3.125] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2464]  [pitch1:36]  [yaw1:2253]  [Ax1:3.991] [Ay1:-1.613] [Az1:-3.125] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2520]  [pitch1:35]  [yaw1:2199]  [Ax1:12.917] [Ay1:1.761] [Az1:-1.680] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2551]  [pitch1:34]  [yaw1:2173]  [Ax1:5.556] [Ay1:-0.952] [Az1:-8.734] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2551]  [pitch1:34]  [yaw1:2173]  [Ax1:5.556] [Ay1:-0.952] [Az1:-8.734] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2417]  [pitch1:40]  [yaw1:2308]  [Ax1:16.080] [Ay1:3.015] [Az1:7.849] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2504]  [pitch1:36]  [yaw1:2224]  [Ax1:12.098] [Ay1:1.828] [Az1:-3.297] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2325]  [pitch1:42]  [yaw1:2404]  [Ax1:12.041] [Ay1:1.460] [Az1:8.447] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2325]  [pitch1:42]  [yaw1:2404]  [Ax1:12.041] [Ay1:1.460] [Az1:8.447] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2387]  [pitch1:32]  [yaw1:2347]  [Ax1:5.566] [Ay1:-0.632] [Az1:-8.734] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2066]  [pitch1:43]  [yaw1:2667]  [Ax1:5.671] [Ay1:0.038] [Az1:-1.670] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2066]  [pitch1:43]  [yaw1:2667]  [Ax1:5.671] [Ay1:0.038] [Az1:-1.670] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1949]  [pitch1:47]  [yaw1:2777]  [Ax1:12.735] [Ay1:2.211] [Az1:-2.757] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1682]  [pitch1:98]  [yaw1:3021]  [Ax1:7.006] [Ay1:-2.307] [Az1:-6.667] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1616]  [pitch1:134]  [yaw1:3075]  [Ax1:17.176] [Ay1:1.627] [Az1:10.141] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1616]  [pitch1:134]  [yaw1:3075]  [Ax1:17.176] [Ay1:1.627] [Az1:10.141] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1515]  [pitch1:222]  [yaw1:3148]  [Ax1:12.668] [Ay1:-2.230] [Az1:2.986] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1494]  [pitch1:279]  [yaw1:3162]  [Ax1:12.165] [Ay1:-3.939] [Az1:13.209] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1480]  [pitch1:339]  [yaw1:3173]  [Ax1:5.963] [Ay1:-5.336] [Az1:-1.254] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1480]  [pitch1:406]  [yaw1:3175]  [Ax1:14.463] [Ay1:-2.082] [Az1:16.319] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1474]  [pitch1:477]  [yaw1:3183]  [Ax1:3.307] [Ay1:-6.887] [Az1:2.111] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1476]  [pitch1:551]  [yaw1:3185]  [Ax1:12.065] [Ay1:-2.675] [Az1:12.878] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1484]  [pitch1:632]  [yaw1:3189]  [Ax1:2.733] [Ay1:-7.207] [Az1:7.896] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1492]  [pitch1:714]  [yaw1:3191]  [Ax1:1.780] [Ay1:-5.953] [Az1:9.371] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1503]  [pitch1:795]  [yaw1:3192]  [Ax1:3.307] [Ay1:-5.092] [Az1:9.012] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1514]  [pitch1:873]  [yaw1:3194]  [Ax1:2.053] [Ay1:-6.092] [Az1:8.911] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1522]  [pitch1:946]  [yaw1:3192]  [Ax1:1.795] [Ay1:-5.958] [Az1:8.892] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1535]  [pitch1:1017]  [yaw1:3190]  [Ax1:4.259] [Ay1:-3.666] [Az1:8.160] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1544]  [pitch1:1084]  [yaw1:3190]  [Ax1:2.613] [Ay1:-2.015] [Az1:6.590] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1555]  [pitch1:1152]  [yaw1:3190]  [Ax1:2.958] [Ay1:-2.460] [Az1:5.236] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1573]  [pitch1:1221]  [yaw1:3183]  [Ax1:0.407] [Ay1:-1.886] [Az1:4.264] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1589]  [pitch1:1283]  [yaw1:3176]  [Ax1:0.775] [Ay1:-1.010] [Az1:2.455] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1604]  [pitch1:1334]  [yaw1:3167]  [Ax1:-1.627] [Ay1:-0.967] [Az1:1.723] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1609]  [pitch1:1365]  [yaw1:3153]  [Ax1:-4.680] [Ay1:-1.350] [Az1:1.776] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1594]  [pitch1:1365]  [yaw1:3129]  [Ax1:-4.795] [Ay1:-2.484] [Az1:1.292] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1577]  [pitch1:1344]  [yaw1:3106]  [Ax1:-5.154] [Ay1:-2.833] [Az1:1.551] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1559]  [pitch1:1313]  [yaw1:3088]  [Ax1:-5.341] [Ay1:-3.187] [Az1:2.594] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1544]  [pitch1:1284]  [yaw1:3075]  [Ax1:-4.910] [Ay1:-4.709] [Az1:4.676] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1531]  [pitch1:1265]  [yaw1:3066]  [Ax1:-6.150] [Ay1:-5.595] [Az1:5.958] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1513]  [pitch1:1259]  [yaw1:3053]  [Ax1:-10.242] [Ay1:-4.556] [Az1:6.107] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1513]  [pitch1:1259]  [yaw1:3053]  [Ax1:-10.242] [Ay1:-4.556] [Az1:6.107] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1506]  [pitch1:1262]  [yaw1:3049]  [Ax1:-10.414] [Ay1:-3.403] [Az1:6.815] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1500]  [pitch1:1272]  [yaw1:3046]  [Ax1:-10.510] [Ay1:-2.522] [Az1:7.475] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1502]  [pitch1:1278]  [yaw1:3047]  [Ax1:-10.399] [Ay1:-2.757] [Az1:7.255] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1502]  [pitch1:1278]  [yaw1:3047]  [Ax1:-10.399] [Ay1:-2.757] [Az1:7.255] [        ][?][        ]
[roll2:1574736]  [pitch2:0]  [yaw2:1228461627]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1512]  [pitch1:1289]  [yaw1:3056]  [Ax1:-10.064] [Ay1:-3.312] [Az1:6.523] [        ][?][        ]
