[roll1:2133]  [pitch1:45]  [yaw1:2957]  [Ax1:9.677] [Ay1:0.536] [Az1:0.809] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2139]  [pitch1:45]  [yaw1:2951]  [Ax1:9.500] [Ay1:0.646] [Az1:0.828] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2145]  [pitch1:45]  [yaw1:2943]  [Ax1:9.787] [Ay1:0.598] [Az1:0.579] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2091]  [pitch1:49]  [yaw1:2994]  [Ax1:8.107] [Ay1:-0.302] [Az1:5.226] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2082]  [pitch1:54]  [yaw1:3003]  [Ax1:16.372] [Ay1:2.197] [Az1:5.264] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2045]  [pitch1:65]  [yaw1:3040]  [Ax1:12.778] [Ay1:0.991] [Az1:8.892] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2056]  [pitch1:57]  [yaw1:3028]  [Ax1:3.297] [Ay1:-1.551] [Az1:-5.240] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2080]  [pitch1:55]  [yaw1:3003]  [Ax1:13.659] [Ay1:1.962] [Az1:-0.335] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2063]  [pitch1:52]  [yaw1:3019]  [Ax1:4.982] [Ay1:-1.139] [Az1:-8.150] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2063]  [pitch1:52]  [yaw1:3019]  [Ax1:4.982] [Ay1:-1.139] [Az1:-8.150] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2046]  [pitch1:61]  [yaw1:3034]  [Ax1:16.075] [Ay1:2.527] [Az1:7.614] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2069]  [pitch1:54]  [yaw1:3012]  [Ax1:12.438] [Ay1:1.503] [Az1:-2.647] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2069]  [pitch1:54]  [yaw1:3012]  [Ax1:12.438] [Ay1:1.503] [Az1:-2.647] [        ][?][        ]
[roll2:16779088]  [pitch2:0]  [yaw2:-930304076]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
