[roll1:1546]  [pitch1:89]  [yaw1:1913]  [Ax1:13.213] [Ay1:1.718] [Az1:1.369] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1540]  [pitch1:97]  [yaw1:1919]  [Ax1:10.677] [Ay1:-1.125] [Az1:4.436] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1496]  [pitch1:95]  [yaw1:1963]  [Ax1:6.169] [Ay1:-0.091] [Az1:-5.896] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1516]  [pitch1:109]  [yaw1:1940]  [Ax1:17.233] [Ay1:1.627] [Az1:8.528] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1516]  [pitch1:109]  [yaw1:1940]  [Ax1:17.233] [Ay1:1.627] [Az1:8.528] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1440]  [pitch1:123]  [yaw1:2007]  [Ax1:14.553] [Ay1:1.163] [Az1:0.842] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1417]  [pitch1:149]  [yaw1:2022]  [Ax1:12.902] [Ay1:-2.340] [Az1:5.791] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1386]  [pitch1:182]  [yaw1:2042]  [Ax1:6.872] [Ay1:-3.173] [Az1:-2.106] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1372]  [pitch1:224]  [yaw1:2042]  [Ax1:16.956] [Ay1:-3.632] [Az1:13.156] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1354]  [pitch1:272]  [yaw1:2045]  [Ax1:3.149] [Ay1:-7.427] [Az1:1.335] [        ][?][        ]
